iter	RMSE
115	0.2855822001
116	0.2855539959
117	0.2855296524
118	0.2854913821
119	0.2854713875
120	0.2854534496
121	0.2854254418
122	0.2853906136
123	0.2853591153
124	0.2853277339
125	0.2852864593
126	0.285246294
127	0.2852226762
128	0.2851917527
129	0.2851612402
130	0.2851319592
131	0.28510052
132	0.2850584825
133	0.2850251581
134	0.2849995624
135	0.2849600507
136	0.2849276606
137	0.2848983828
138	0.2848738431
139	0.2848467617
140	0.284809923
141	0.284778511
142	0.2847521731
143	0.2847202774
144	0.2846906915
145	0.2846499009
146	0.2846133132
147	0.2845855877
148	0.2845609509
149	0.2845404239
150	0.2845154324
151	0.2844839466
152	0.2844627165
153	0.2844346105
154	0.2843983757
155	0.2843617268
156	0.2843196569
157	0.2842850659
158	0.284254659
159	0.2842241064
160	0.2841925026
161	0.2841584295
162	0.2841142311
163	0.2840829551
164	0.2840502151
165	0.2840151196
166	0.2839940766
167	0.283959141
168	0.2839170561
169	0.2838764657
170	0.2838361017
171	0.2838073269
172	0.2837689392
173	0.2837376244
174	0.2837017756
175	0.2836797386
176	0.2836428038
177	0.2836126627
178	0.2835745751
179	0.2835338759
180	0.2834924384
181	0.2834612433
182	0.2834209256
183	0.2833940441
184	0.2833640627
185	0.2833229777
186	0.2832810021
187	0.2832615366
188	0.2832203941
189	0.2831886088
190	0.2831533098
191	0.2831246173
192	0.2830833098
193	0.28304426
194	0.2830114226
195	0.2829741795
196	0.2829404049
197	0.2828995216
198	0.2828761829
199	0.2828355822
200	0.2827961234
201	0.2827688017
202	0.282714591
203	0.2826747669
204	0.2826391619
205	0.2825988708
206	0.2825770244
207	0.2825488394
208	0.2825134779
209	0.2824886495
210	0.2824464045
211	0.2824135
212	0.2823768034
213	0.2823477291
214	0.2823209336
215	0.2822901601
216	0.2822667747
217	0.2822280763
218	0.2822000152
219	0.2821600895
220	0.2821116799
221	0.2820703009
222	0.2820317945
223	0.2819929952
224	0.2819573211
225	0.2819253778
226	0.2818966239
227	0.281852545
228	0.281818695
229	0.2817829003
230	0.2817538697
231	0.2817218213
232	0.28168818
233	0.2816491748
234	0.2816215817
235	0.2815977289
236	0.281554104
237	0.2815128286
238	0.2814800524
239	0.2814466611
240	0.2814127115
241	0.281368997
242	0.2813400872
243	0.2813084172
244	0.2812778818
245	0.2812527841
246	0.2812194671
247	0.2811828407
248	0.2811418505
249	0.2811129698
250	0.2810767216
251	0.2810374057
252	0.2810113442
253	0.2809692514
254	0.2809408484
255	0.2809119968
256	0.2808852273
257	0.2808535733
258	0.2808200245
259	0.2807695228
260	0.2807399677
261	0.2807023189
262	0.2806739413
263	0.2806403757
264	0.2806202195
265	0.2805905313
266	0.2805586289
267	0.2805270801
268	0.2804908861
269	0.2804596155
270	0.2804306541
271	0.2803904352
272	0.2803542983
273	0.2803153095
274	0.280284776
275	0.2802548952
276	0.2802181459
277	0.2801781248
278	0.280144737
279	0.2801092713
280	0.2800778648
281	0.2800559518
282	0.2800257515
283	0.2800003415
284	0.2799577452
285	0.2799164086
286	0.2798859581
287	0.2798612048
288	0.2798223983
289	0.2797894712
290	0.2797521811
291	0.2797244724
292	0.279687679
293	0.2796585088
294	0.2796153374
295	0.2795822535
296	0.2795419813
297	0.27950635
298	0.2794670242
299	0.2794376284
300	0.2794072416
301	0.2793754637
302	0.279342605
303	0.2793061714
304	0.2792775433
305	0.2792490235
306	0.2792308667
307	0.279206217
308	0.279172824
309	0.2791337779
310	0.2790996874
311	0.2790696081
312	0.2790352083
313	0.2790207512
314	0.2789855553
315	0.2789469388
316	0.2789090199
317	0.2788710934
318	0.2788306108
319	0.2788057799
320	0.2787688273
321	0.2787372858
322	0.2787163469
323	0.2786802066
324	0.2786386311
325	0.2786124928
326	0.2785747899
327	0.2785436017
328	0.2785196556
329	0.2784923167
330	0.2784578201
331	0.2784293585
332	0.2783984034
333	0.2783591052
334	0.2783308228
335	0.278299122
336	0.2782687022
337	0.2782239753
338	0.2781824875
339	0.2781604676
340	0.2781262378
341	0.2780893446
342	0.2780543594
343	0.2780213413
344	0.2779883807
345	0.2779517513
346	0.2779166761
347	0.2778908598
348	0.2778553328
349	0.2778258241
350	0.2777988629
351	0.2777623961
352	0.2777213994
353	0.2776851398
354	0.2776634216
355	0.2776279364
356	0.2775991492
357	0.2775775678
358	0.2775388599
359	0.2775053261
360	0.2774814684
361	0.2774458971
362	0.27741189
363	0.2773848453
364	0.2773582898
365	0.2773291026
366	0.2772994521
367	0.277262789
368	0.2772331795
369	0.277201653
370	0.2771601083
371	0.2771257576
372	0.277089397
373	0.2770605241
374	0.2770316628
375	0.2769902717
376	0.2769570217
377	0.2769414487
378	0.2769036819
379	0.2768711544
380	0.2768381171
381	0.2768106621
382	0.2767822404
383	0.2767583202
384	0.2767255651
385	0.2766953808
386	0.276663714
387	0.2766233466
388	0.276585093
389	0.2765557675
390	0.2765320068
391	0.2764986748
392	0.2764674758
393	0.2764353652
394	0.2764020371
395	0.2763686854
396	0.2763382386
397	0.2763027114
398	0.2762638933
399	0.2762290935
400	0.2762039942
401	0.2761773535
402	0.2761507206
403	0.2761276556
404	0.2760935304
405	0.2760693705
406	0.2760366072
407	0.2759995171
408	0.2759813477
409	0.2759524864
410	0.2759145952
411	0.2758804122
412	0.2758473512
413	0.2758117335
414	0.2757853319
415	0.2757673982
416	0.2757299033
417	0.2756854445
418	0.275644679
419	0.2756091851
420	0.2755800948
421	0.2755546734
422	0.2755272453
423	0.2755009311
424	0.2754679815
425	0.2754447226
426	0.2754087756
427	0.2753781983
428	0.2753439408
429	0.2753020682
430	0.2752649948
431	0.2752448922
432	0.2752078843
433	0.2751746282
434	0.2751381595
435	0.2751072113
436	0.2750813191
437	0.2750436449
438	0.2750033655
439	0.2749754534
440	0.2749432105
441	0.2749032575
442	0.2748645564
443	0.2748406585
444	0.2748104993
445	0.2747833457
446	0.2747583476
447	0.2747306288
448	0.2746943977
449	0.2746652505
450	0.2746315262
451	0.2746017831
452	0.2745738817
453	0.2745476719
454	0.2745136123
455	0.2744931101
456	0.2744610563
457	0.2744398931
458	0.2744038406
459	0.2743752493
460	0.2743593055
461	0.2743274555
462	0.2742971277
463	0.274261935
464	0.2742339769
465	0.2742175962
466	0.2741853803
467	0.2741523691
468	0.2741205906
469	0.274098282
470	0.2740658582
471	0.2740443614
472	0.2740117511
473	0.2739823869
474	0.2739477824
475	0.2739129236
476	0.2738885797
477	0.2738532853
478	0.2738218234
479	0.2737969986
480	0.2737655608
481	0.2737344184
482	0.2736982251
483	0.2736715209
484	0.2736494798
485	0.2736173497
486	0.2735827043
487	0.2735406515
488	0.2735114922
489	0.2734739932
490	0.27345024
491	0.2734193342
492	0.2733898686
493	0.2733582025
494	0.2733274678
495	0.2732965033
496	0.2732535146
497	0.2732295355
498	0.2732000798
499	0.2731651977
500	0.273141138
501	0.2731101759
502	0.2730780121
503	0.2730452791
504	0.2730120443
505	0.2729661443
506	0.2729359006
507	0.2729094855
508	0.2728915529
509	0.2728654116
510	0.2728232144
511	0.2727957796
512	0.272784083
513	0.2727687922
514	0.2727497025
515	0.2727320325
516	0.2726898332
517	0.2726574477
518	0.272634216
519	0.2726029471
520	0.2725682718
521	0.2725355209
522	0.27250796
523	0.2724839763
524	0.272453663
525	0.2724256576
526	0.2723954472
527	0.2723740252
528	0.2723380738
529	0.2723076
530	0.2722782268
531	0.2722467308
532	0.2722171153
533	0.2721800207
534	0.2721408488
535	0.2721106184
536	0.272078398
537	0.2720516834
538	0.2720253513
539	0.2719875368
540	0.2719479054
541	0.2719125862
542	0.2718841825
543	0.2718519904
544	0.2718184972
545	0.2717872178
546	0.271755329
547	0.2717272478
548	0.2717010319
549	0.2716691519
550	0.271632412
551	0.2716001149
552	0.271572672
553	0.2715377184
554	0.2715137846
555	0.2714810166
556	0.2714426082
557	0.2714098818
558	0.2713892203
559	0.2713547845
560	0.271332919
561	0.2713075011
562	0.2712772679
563	0.27123794
564	0.2712034701
565	0.2711723137
566	0.2711427758
567	0.2711132217
568	0.2710829747
569	0.2710519806
570	0.2710131195
571	0.2709763679
572	0.2709500478
573	0.2709202632
574	0.2708904244
575	0.2708680268
576	0.270824635
577	0.2707961824
578	0.2707611538
579	0.2707307307
580	0.2706975699
581	0.270671007
582	0.2706367647
583	0.2706201253
584	0.2705843893
585	0.2705543494
586	0.2705301085
587	0.2705033255
588	0.2704649765
589	0.2704406324
590	0.2704046592
591	0.2703910948
592	0.270366842
593	0.2703373483
594	0.2703218792
595	0.2703012054
596	0.2702743069
597	0.2702486593
598	0.2702164655
599	0.2701816648
600	0.2701554461
601	0.270129817
602	0.2701012681
603	0.2700679833
604	0.2700292758
605	0.2699956257
606	0.2699664145
607	0.2699431764
608	0.2699162073
609	0.2698927099
610	0.2698643443
611	0.2698378302
612	0.2698026996
613	0.2697689976
614	0.2697470612
615	0.2697130843
616	0.2696766318
617	0.2696514878
618	0.2696172553
619	0.2695976613
620	0.2695698126
621	0.2695397665
622	0.2695079446
623	0.2694754531
624	0.2694419701
625	0.2694130238
626	0.2693959888
627	0.2693572311
628	0.2693324892
629	0.2693109463
630	0.2692884314
631	0.2692588813
632	0.2692279825
633	0.2691930232
634	0.2691573177
635	0.2691251174
636	0.2691006316
637	0.2690722579
638	0.2690506487
639	0.2690164648
640	0.2689802064
641	0.2689604554
642	0.2689227775
643	0.2689032267
644	0.2688785387
645	0.2688624467
646	0.2688444663
647	0.2688052307
648	0.2687775215
649	0.268747732
650	0.2687195859
651	0.2686924544
652	0.2686675151
653	0.2686378725
654	0.2686125441
655	0.2685837197
656	0.2685605623
657	0.2685311862
658	0.2685040421
659	0.2684782216
660	0.2684508739
661	0.2684110535
662	0.2683793791
663	0.2683408906
664	0.2683180622
665	0.268286234
666	0.2682652755
667	0.2682336663
668	0.2682156361
669	0.2681830273
670	0.2681591984
671	0.2681266782
672	0.2680974113
673	0.2680669937
674	0.2680426864
675	0.2679958698
676	0.2679793833
677	0.267951313
678	0.267913467
679	0.2678834605
680	0.2678592759
681	0.2678234967
682	0.2678091876
683	0.2677845154
684	0.2677530807
685	0.2677345237
686	0.2677055279
687	0.2676769179
688	0.2676451416
689	0.2676169839
690	0.267591789
691	0.2675670635
692	0.2675399366
693	0.2675074095
694	0.2674701595
695	0.2674270661
696	0.2673999945
697	0.2673647805
698	0.267341716
699	0.2673248797
700	0.2673032053
701	0.2672829852
702	0.2672502013
703	0.2672269919
704	0.2671981258
705	0.2671653677
706	0.2671324126
707	0.2671013123
708	0.2670733055
709	0.2670454598
710	0.267022328
711	0.2669965141
712	0.2669679843
713	0.2669405591
714	0.2669186756
715	0.2668969815
716	0.2668824812
717	0.2668600711
718	0.2668371238
719	0.2668091246
720	0.2667807521
721	0.2667564815
722	0.266723962
723	0.2666933895
724	0.2666574588
725	0.2666221803
726	0.2665851344
727	0.2665558143
728	0.2665286098
729	0.2664981176
730	0.2664762352
731	0.2664409631
732	0.2664071932
733	0.2663829517
734	0.2663570085
735	0.2663210538
736	0.2662870437
737	0.2662589742
738	0.2662269944
739	0.2662026957
740	0.2661774536
741	0.2661475176
742	0.2661212463
743	0.2660915227
744	0.2660593504
745	0.2660316042
746	0.2659991901
747	0.2659753081
748	0.265950433
749	0.2659235872
750	0.2658832357
751	0.2658507772
752	0.2658200473
753	0.2658004334
754	0.2657769052
755	0.265752147
756	0.2657241449
757	0.2657000504
758	0.2656728756
759	0.2656401509
760	0.2656081045
761	0.2655765194
762	0.2655471258
763	0.2655249078
764	0.2655095395
765	0.2654861857
766	0.2654545306
767	0.2654238158
768	0.2654018496
769	0.2653723618
770	0.2653472925
771	0.2653215049
772	0.2652898391
773	0.2652699874
774	0.2652505716
775	0.2652250292
776	0.2652022071
777	0.2651803227
778	0.2651487218
779	0.2651206986
780	0.2650869013
781	0.2650589868
782	0.2650311528
783	0.2650108063
784	0.2649885361
785	0.2649594645
786	0.2649356857
787	0.2649092327
788	0.2648921293
789	0.2648722374
790	0.2648475917
791	0.2648045403
792	0.2647771485
793	0.2647541859
794	0.2647164709
795	0.2646944734
796	0.2646631176
797	0.2646372565
798	0.264603001
799	0.264575443
800	0.2645459595
801	0.2645187878
802	0.2644906394
803	0.2644688543
804	0.264446143
805	0.2644204946
806	0.2643920146
807	0.2643748628
808	0.2643562946
809	0.2643337976
810	0.2643025275
811	0.264277351
812	0.264250864
813	0.2642248579
814	0.2641960843
815	0.2641662159
816	0.2641431442
817	0.2641173258
818	0.2641013072
819	0.2640728581
820	0.2640464018
821	0.2640199438
822	0.263984389
823	0.2639680128
824	0.2639350128
825	0.2638936465
826	0.2638667275
827	0.2638474533
828	0.2638159037
829	0.2637868397
830	0.2637646283
831	0.2637339718
832	0.2637085795
833	0.2636842531
834	0.2636451536
835	0.2636115859
836	0.2635937257
837	0.263568822
838	0.2635324535
839	0.2635095602
840	0.2634729109
841	0.2634538682
842	0.2634323458
843	0.2634151963
844	0.2633970998
845	0.2633778259
846	0.2633569072
847	0.2633250345
848	0.2633025701
849	0.2632850148
850	0.2632683708
851	0.2632425516
852	0.2632179225
853	0.2631883469
854	0.2631671029
855	0.263143174
856	0.263116401
857	0.2630842279
858	0.2630588416
859	0.263036178
860	0.2630117366
861	0.2629929295
862	0.2629714949
863	0.2629394316
864	0.262910491
865	0.262887468
866	0.2628655594
867	0.2628439169
868	0.2628057223
869	0.2627704399
870	0.2627429412
871	0.2627193981
872	0.262699929
873	0.2626683372
874	0.2626460541
875	0.2626216919
876	0.2625988996
877	0.2625757461
878	0.2625494286
879	0.2625229981
880	0.2624985381
881	0.2624699328
882	0.2624376751
883	0.2624089331
884	0.2623834254
885	0.2623660085
886	0.2623417726
887	0.2623069859
888	0.2622807737
889	0.2622669394
890	0.2622389559
891	0.2622139271
892	0.2621859492
893	0.2621565398
894	0.2621359359
895	0.262115485
896	0.2620917848
897	0.2620726022
898	0.2620432063
899	0.2620218748
900	0.2620019609
901	0.2619795108
902	0.2619555298
903	0.2619159408
904	0.2618979416
905	0.2618721385
906	0.2618430506
907	0.2618184696
908	0.2617851079
909	0.2617679247
910	0.2617405471
911	0.2617093082
912	0.2616899598
913	0.2616644006
914	0.2616309739
915	0.2616014648
916	0.2615740949
917	0.2615547113
918	0.2615327469
919	0.2615064452
920	0.2614882776
921	0.2614560622
922	0.2614285153
923	0.2614082332
924	0.2613833322
925	0.2613527544
926	0.2613287253
927	0.261302034
928	0.2612791852
929	0.261257479
930	0.2612349362
931	0.2612046864
932	0.2611760352
933	0.2611407303
934	0.2611158277
935	0.2610970833
936	0.2610665216
937	0.2610382276
938	0.2610141905
939	0.2609960809
940	0.2609695755
941	0.2609448977
942	0.2609260201
943	0.2609000803
944	0.2608778316
945	0.2608471254
946	0.2608179411
947	0.2607965292
948	0.2607622315
949	0.260736147
950	0.2607153703
951	0.2606959839
952	0.2606690308
953	0.2606428098
954	0.2606142544
955	0.2605835268
956	0.2605485457
957	0.2605162269
958	0.2604860214
959	0.2604588191
960	0.2604264008
961	0.2603992057
962	0.2603663703
963	0.2603514196
964	0.2603265196
965	0.2602995104
966	0.2602760731
967	0.2602480846
968	0.260227251
969	0.2602018322
970	0.260174464
971	0.2601564394
972	0.260130155
973	0.2601084739
974	0.2600850658
975	0.2600678214
976	0.2600432954
977	0.2600253492
978	0.2600017759
979	0.2599718737
980	0.2599545568
981	0.2599230939
982	0.2598985451
983	0.2598700705
984	0.2598456948
985	0.2598305149
986	0.2598112558
987	0.2597769204
988	0.259754113
989	0.2597423153
990	0.2597082621
991	0.2596948174
992	0.259663802
993	0.259641412
994	0.259609495
995	0.2595795411
996	0.2595629821
997	0.2595331547
998	0.2595073778
999	0.2594838672
